Date;Open;High;Low;Volume;Close;Precio de cierre del dia siguiente
25/02/2002;0,978;1,016;0,978;2452314;1,016;1,049
26/02/2002;1,01;1,052;1,003;28467421;1,049;1,047
27/02/2002;1,05;1,052;1,032;9613757;1,047;1,034
28/02/2002;1,038;1,038;1,033;13520310;1,034;1,011
1/03/2002;1,032;1,032;0,998;3570432;1,011;1,019
4/03/2002;1,016;1,019;1,005;720260;1,019;0,966
5/03/2002;1,016;1,018;0,963;2850172;0,966;0,956
6/03/2002;0,951;0,96;0,939;2239666;0,956;0,97
7/03/2002;0,975;0,975;0,96;1546844;0,97;0,969
8/03/2002;0,973;0,973;0,964;463024;0,969;0,963
11/03/2002;0,973;0,973;0,957;2184789;0,963;0,983
12/03/2002;0,964;0,983;0,962;2033877;0,983;0,978
13/03/2002;0,981;0,997;0,975;2256815;0,978;0,985
14/03/2002;0,978;0,985;0,976;1718335;0,985;0,99
15/03/2002;0,967;0,991;0,963;1385643;0,99;1,002
18/03/2002;1,002;1,003;0,988;905470;1,002;0,997
19/03/2002;0,996;1,004;0,996;288104;0,997;0,997
20/03/2002;1;1;0,992;2267104;0,997;0,961
21/03/2002;0,981;0,981;0,957;2510621;0,961;0,955
22/03/2002;0,949;0,955;0,946;3992299;0,955;0,949
25/03/2002;0,949;0,954;0,949;902040;0,949;0,959
26/03/2002;0,954;0,963;0,954;1471388;0,959;0,975
27/03/2002;0,958;0,975;0,958;205789;0,975;0,966
28/03/2002;0,981;0,981;0,958;1666888;0,966;0,992
1/04/2002;0,963;0,992;0,963;133763;0,992;0,98
2/04/2002;0,981;1;0,978;1951562;0,98;0,944
3/04/2002;0,986;0,986;0,944;1536555;0,944;0,973
4/04/2002;0,941;0,973;0,941;5453398;0,973;0,982
5/04/2002;0,97;0,986;0,97;1989290;0,982;0,984
8/04/2002;0,969;0,984;0,969;1131837;0,984;1,015
9/04/2002;0,987;1,021;0,987;1341056;1,015;1,053
10/04/2002;1,015;1,054;1,015;2747278;1,053;1,04
11/04/2002;1,055;1,059;1,04;4352429;1,04;1,031
12/04/2002;1,04;1,04;1,026;641374;1,031;0,993
15/04/2002;1,014;1,014;0,992;545340;0,993;0,975
16/04/2002;1;1;0,961;4386727;0,975;0,975
17/04/2002;0,976;0,99;0,975;1011794;0,975;0,975
18/04/2002;0,975;0,98;0,961;1906974;0,975;0,978
19/04/2002;0,975;0,978;0,97;2949636;0,978;0,969
22/04/2002;0,97;0,973;0,96;6266263;0,969;0,966
23/04/2002;0,967;0,972;0,966;6880198;0,966;0,964
24/04/2002;0,968;0,968;0,961;99464;0,964;0,945
25/04/2002;0,944;0,946;0,941;2692401;0,945;0,943
26/04/2002;0,957;0,957;0,94;2853602;0,943;0,949
29/04/2002;0,945;0,949;0,941;1028943;0,949;0,961
30/04/2002;0,954;0,966;0,954;2119622;0,961;0,96
1/05/2002;0,962;0,962;0,96;360130;0,96;0,925
2/05/2002;0,945;0,945;0,925;1714905;0,925;0,901
3/05/2002;0,925;0,925;0,891;4664541;0,901;0,891
6/05/2002;0,873;0,892;0,866;1879536;0,891;0,895
7/05/2002;0,897;0,905;0,893;1035803;0,895;0,909
8/05/2002;0,895;0,913;0,895;4201517;0,909;0,858
9/05/2002;0,905;0,905;0,858;1738914;0,858;0,851
10/05/2002;0,861;0,861;0,833;1855527;0,851;0,814
13/05/2002;0,85;0,85;0,814;1142127;0,814;0,82
14/05/2002;0,816;0,823;0,816;2699260;0,82;0,85
15/05/2002;0,819;0,852;0,817;3875685;0,85;0,879
16/05/2002;0,86;0,883;0,86;2819304;0,879;0,87
17/05/2002;0,873;0,876;0,862;3069680;0,87;0,864
20/05/2002;0,876;0,876;0,861;2366569;0,864;0,866
21/05/2002;0,869;0,872;0,866;3501836;0,866;0,845
22/05/2002;0,863;0,867;0,845;2860461;0,845;0,851
23/05/2002;0,838;0,851;0,837;2277394;0,851;0,847
24/05/2002;0,845;0,85;0,839;353270;0,847;0,836
28/05/2002;0,847;0,847;0,833;4798304;0,836;0,852
29/05/2002;0,838;0,852;0,837;1159276;0,852;0,857
30/05/2002;0,856;0,857;0,856;20579;0,857;0,837
31/05/2002;0,85;0,85;0,836;411577;0,837;0,834
3/06/2002;0,837;0,84;0,831;3639028;0,834;0,81
4/06/2002;0,826;0,826;0,809;2229376;0,81;0,793
5/06/2002;0,807;0,807;0,788;1485108;0,793;0,731
6/06/2002;0,769;0,771;0,731;2788435;0,731;0,742
7/06/2002;0,727;0,744;0,718;1488537;0,742;0,78
10/06/2002;0,75;0,782;0,75;1354775;0,78;0,745
11/06/2002;0,773;0,773;0,745;2884470;0,745;0,708
12/06/2002;0,739;0,744;0,702;2099044;0,708;0,72
13/06/2002;0,732;0,763;0,72;2023588;0,72;0,686
14/06/2002;0,707;0,707;0,685;6499490;0,686;0,716
17/06/2002;0,681;0,718;0,679;2709550;0,716;0,722
18/06/2002;0,72;0,727;0,717;1570853;0,722;0,685
19/06/2002;0,714;0,722;0,685;1701186;0,685;0,64
20/06/2002;0,685;0,685;0,64;2037307;0,64;0,621
21/06/2002;0,646;0,646;0,61;13352250;0,621;0,649
24/06/2002;0,632;0,65;0,621;1872676;0,649;0,673
25/06/2002;0,649;0,679;0,649;1560563;0,673;0,651
26/06/2002;0,667;0,667;0,647;1831518;0,651;0,664
27/06/2002;0,656;0,664;0,656;1735484;0,664;0,674
28/06/2002;0,668;0,681;0,668;1032373;0,674;0,662
1/07/2002;0,678;0,68;0,662;487033;0,662;0,666
2/07/2002;0,646;0,666;0,645;2510621;0,666;0,66
3/07/2002;0,667;0,681;0,656;2068175;0,66;0,626
5/07/2002;0,644;0,648;0,626;994645;0,626;0,643
8/07/2002;0,632;0,647;0,632;589927;0,643;0,651
9/07/2002;0,647;0,651;0,647;833444;0,651;0,639
10/07/2002;0,654;0,654;0,636;2232806;0,639;0,667
11/07/2002;0,64;0,667;0,64;2229376;0,667;0,691
12/07/2002;0,672;0,691;0,672;1793791;0,691;0,674
15/07/2002;0,684;0,684;0,667;974066;0,674;0,679
16/07/2002;0,68;0,68;0,674;1289608;0,679;0,686
17/07/2002;0,681;0,686;0,679;624225;0,686;0,713
18/07/2002;0,686;0,713;0,686;668813;0,713;0,703
19/07/2002;0,712;0,713;0,699;939768;0,703;0,651
22/07/2002;0,685;0,692;0,651;1920693;0,651;0,618
23/07/2002;0,638;0,638;0,614;888321;0,618;0,606
24/07/2002;0,596;0,606;0,588;6283412;0,606;0,539
25/07/2002;0,588;0,588;0,537;18428368;0,539;0,508
26/07/2002;0,535;0,535;0,495;7874843;0,508;0,46
29/07/2002;0,518;0,518;0,46;10958242;0,46;0,416
30/07/2002;0,457;0,457;0,4;23164935;0,416;0,428
31/07/2002;0,436;0,439;0,411;11822554;0,428;0,467
1/08/2002;0,437;0,478;0,429;9908721;0,467;0,533
2/08/2002;0,504;0,533;0,499;10858778;0,533;0,491
5/08/2002;0,527;0,53;0,491;6290271;0,491;0,531
6/08/2002;0,503;0,532;0,502;4403876;0,531;0,584
7/08/2002;0,551;0,591;0,551;2428305;0,584;0,614
8/08/2002;0,668;0,668;0,614;8049764;0,614;0,559
9/08/2002;0,606;0,606;0,556;5305916;0,559;0,501
12/08/2002;0,535;0,535;0,488;4204947;0,501;0,477
13/08/2002;0,47;0,484;0,464;10104220;0,477;0,461
14/08/2002;0,486;0,486;0,432;16295026;0,461;0,453
15/08/2002;0,476;0,476;0,448;8344727;0,453;0,47
16/08/2002;0,461;0,472;0,457;10913655;0,47;0,478
19/08/2002;0,467;0,5;0,464;6303990;0,478;0,468
20/08/2002;0,487;0,487;0,465;3350924;0,468;0,48
21/08/2002;0,477;0,49;0,475;6400025;0,48;0,496
22/08/2002;0,479;0,496;0,476;1862387;0,496;0,501
23/08/2002;0,492;0,509;0,492;1598291;0,501;0,538
26/08/2002;0,511;0,542;0,511;1766352;0,538;0,551
27/08/2002;0,556;0,571;0,538;5340214;0,551;0,548
28/08/2002;0,547;0,553;0,539;1570853;0,548;0,562
29/08/2002;0,516;0,562;0,516;3134846;0,562;0,586
30/08/2002;0,567;0,586;0,565;1512546;0,586;0,56
3/09/2002;0,557;0,563;0,551;6249113;0,56;0,547
4/09/2002;0,542;0,554;0,542;5851256;0,547;0,526
5/09/2002;0,53;0,53;0,523;4561647;0,526;0,507
6/09/2002;0,527;0,527;0,507;1423371;0,507;0,523
9/09/2002;0,51;0,525;0,51;528191;0,523;0,529
10/09/2002;0,528;0,539;0,523;2582647;0,529;0,555
11/09/2002;0,542;0,555;0,542;675673;0,555;0,548
12/09/2002;0,541;0,55;0,541;884891;0,548;0,545
13/09/2002;0,543;0,545;0,542;192069;0,545;0,511
16/09/2002;0,531;0,533;0,51;764848;0,511;0,488
17/09/2002;0,513;0,514;0,488;2105903;0,488;0,458
18/09/2002;0,47;0,47;0,455;3045671;0,458;0,45
19/09/2002;0,46;0,46;0,45;1190144;0,45;0,473
20/09/2002;0,458;0,474;0,448;4822313;0,473;0,422
23/09/2002;0,44;0,44;0,419;3817378;0,422;0,397
24/09/2002;0,415;0,415;0,396;4438174;0,397;0,4
25/09/2002;0,396;0,409;0,393;8166377;0,4;0,38
26/09/2002;0,4;0,4;0,377;2634094;0,38;0,354
27/09/2002;0,362;0,364;0,352;4421025;0,354;0,377
30/09/2002;0,349;0,383;0,343;2277394;0,377;0,427
1/10/2002;0,383;0,429;0,383;5786089;0,427;0,419
2/10/2002;0,433;0,449;0,417;6842471;0,419;0,437
3/10/2002;0,421;0,441;0,414;7792528;0,437;0,433
4/10/2002;0,438;0,443;0,431;4863470;0,433;0,409
7/10/2002;0,419;0,419;0,402;5480836;0,409;0,405
8/10/2002;0,408;0,409;0,396;3402371;0,405;0,373
9/10/2002;0,377;0,378;0,372;1118118;0,373;0,367
10/10/2002;0,375;0,379;0,367;401288;0,367;0,381
11/10/2002;0,372;0,389;0,372;1430231;0,381;0,373
14/10/2002;0,373;0,376;0,364;943198;0,373;0,368
15/10/2002;0,376;0,385;0,356;1347915;0,368;0,359
16/10/2002;0,365;0,366;0,356;2610085;0,359;0,391
17/10/2002;0,371;0,395;0,371;411577;0,391;0,386
18/10/2002;0,392;0,412;0,379;2418016;0,386;0,383
21/10/2002;0,385;0,385;0,378;469884;0,383;0,39
22/10/2002;0,374;0,39;0,374;9322223;0,39;0,434
23/10/2002;0,392;0,434;0,392;9349662;0,434;0,459
24/10/2002;0,441;0,474;0,441;19491609;0,459;0,485
25/10/2002;0,455;0,489;0,451;11849993;0,485;0,465
28/10/2002;0,486;0,492;0,461;14072510;0,465;0,466
29/10/2002;0,464;0,466;0,459;3124557;0,466;0,51
30/10/2002;0,479;0,521;0,479;7346653;0,51;0,534
31/10/2002;0,527;0,536;0,527;15804564;0,534;0,532
1/11/2002;0,529;0,535;0,526;3045671;0,532;0,529
4/11/2002;0,542;0,554;0,512;6057044;0,529;0,505
5/11/2002;0,516;0,516;0,501;2081895;0,505;0,471
6/11/2002;0,498;0,498;0,467;4235815;0,471;0,495
7/11/2002;0,487;0,497;0,482;2081895;0,495;0,504
8/11/2002;0,506;0,517;0,503;2750707;0,504;0,515
11/11/2002;0,525;0,525;0,515;195499;0,515;0,513
12/11/2002;0,518;0,525;0,513;7693063;0,513;0,492
13/11/2002;0,502;0,502;0,489;7538722;0,492;0,496
14/11/2002;0,482;0,496;0,477;6540647;0,496;0,495
15/11/2002;0,479;0,497;0,479;617366;0,495;0,513
18/11/2002;0,503;0,515;0,502;5007522;0,513;0,508
19/11/2002;0,502;0,508;0,496;4808593;0,508;0,514
20/11/2002;0,501;0,515;0,499;5576871;0,514;0,523
21/11/2002;0,514;0,529;0,513;3151995;0,523;0,508
22/11/2002;0,501;0,508;0,5;3697335;0,508;0,507
25/11/2002;0,508;0,511;0,504;929478;0,507;0,5
26/11/2002;0,503;0,503;0,496;2658103;0,5;0,501
27/11/2002;0,516;0,516;0,5;1821229;0,501;0,505
29/11/2002;0,501;0,506;0,498;1066671;0,505;0,535
2/12/2002;0,523;0,535;0,521;4517060;0,535;0,508
3/12/2002;0,513;0,521;0,508;895180;0,508;0,502
4/12/2002;0,494;0,503;0,491;1368494;0,502;0,477
5/12/2002;0,489;0,489;0,476;1793791;0,477;0,499
6/12/2002;0,486;0,499;0,486;1313617;0,499;0,482
9/12/2002;0,473;0,482;0,471;1879536;0,482;0,477
10/12/2002;0,482;0,483;0,477;2589506;0,477;0,503
11/12/2002;0,491;0,503;0,489;1550274;0,503;0,509
12/12/2002;0,505;0,514;0,503;4355858;0,509;0,503
13/12/2002;0,498;0,508;0,498;2023588;0,503;0,528
16/12/2002;0,506;0,529;0,506;9943019;0,528;0,529
17/12/2002;0,53;0,542;0,528;9126724;0,529;0,551
18/12/2002;0,533;0,553;0,531;4228955;0,551;0,592
19/12/2002;0,548;0,592;0,548;6396595;0,592;0,603
20/12/2002;0,606;0,611;0,597;11952887;0,603;0,59
23/12/2002;0,603;0,607;0,59;7929720;0,59;0,589
24/12/2002;0,584;0,595;0,584;270955;0,589;0,562
26/12/2002;0,573;0,573;0,561;198929;0,562;0,568
27/12/2002;0,573;0,575;0,567;819725;0,568;0,58
30/12/2002;0,58;0,58;0,574;703111;0,58;0,573
31/12/2002;0,575;0,575;0,567;795716;0,573;0,581
2/01/2003;0,573;0,584;0,573;579638;0,581;0,597
3/01/2003;0,59;0,597;0,59;2027018;0,597;0,636
6/01/2003;0,62;0,638;0,62;2826163;0,636;0,629
7/01/2003;0,637;0,642;0,629;1972141;0,629;0,609
8/01/2003;0,62;0,621;0,609;5350503;0,609;0,618
9/01/2003;0,614;0,622;0,614;6979663;0,618;0,622
10/01/2003;0,622;0,629;0,621;9696072;0,622;0,624
13/01/2003;0,626;0,626;0,622;3316626;0,624;0,629
14/01/2003;0,626;0,629;0,621;2682111;0,629;0,614
15/01/2003;0,616;0,616;0,609;5017812;0,614;0,626
16/01/2003;0,619;0,633;0,619;1491967;0,626;0,606
17/01/2003;0,607;0,61;0,606;3505266;0,606;0,561
21/01/2003;0,571;0,571;0,559;4228955;0,561;0,517
22/01/2003;0,545;0,546;0,517;6201096;0,517;0,518
23/01/2003;0,525;0,527;0,518;7843975;0,518;0,512
24/01/2003;0,508;0,512;0,501;9696072;0,512;0,503
27/01/2003;0,502;0,509;0,5;4774295;0,503;0,505
28/01/2003;0,506;0,509;0,501;6163368;0,505;0,525
29/01/2003;0,497;0,529;0,496;1382213;0,525;0,529
30/01/2003;0,532;0,535;0,524;4678261;0,529;0,532
31/01/2003;0,528;0,535;0,526;2548349;0,532;0,553
3/02/2003;0,535;0,553;0,531;4252964;0,553;0,539
4/02/2003;0,538;0,547;0,536;4623384;0,539;0,535
5/02/2003;0,537;0,538;0,532;1224442;0,535;0,528
6/02/2003;0,52;0,529;0,518;2006439;0,528;0,521
7/02/2003;0,529;0,529;0,518;150912;0,521;0,523
10/02/2003;0,52;0,527;0,52;1197004;0,523;0,535
11/02/2003;0,524;0,544;0,524;1392503;0,535;0,54
12/02/2003;0,536;0,541;0,535;812865;0,54;0,525
13/02/2003;0,517;0,525;0,513;3988869;0,525;0,513
14/02/2003;0,517;0,517;0,508;1941272;0,513;0,526
18/02/2003;0,515;0,529;0,515;1732054;0,526;0,505
19/02/2003;0,526;0,526;0,501;1852097;0,505;0,513
20/02/2003;0,509;0,515;0,503;1073530;0,513;0,509
21/02/2003;0,512;0,513;0,506;3553283;0,509;0,503
24/02/2003;0,51;0,513;0,502;507612;0,503;0,503
25/02/2003;0,496;0,503;0,494;1979000;0,503;0,505
26/02/2003;0,505;0,513;0,503;1042662;0,505;0,514
27/02/2003;0,5;0,519;0,499;1584572;0,514;0,528
28/02/2003;0,515;0,528;0,515;2263674;0,528;0,552
3/03/2003;0,534;0,553;0,534;1841808;0,552;0,537
4/03/2003;0,533;0,542;0,533;905470;0,537;0,536
5/03/2003;0,535;0,536;0,527;699681;0,536;0,579
6/03/2003;0,541;0,579;0,541;5089838;0,579;0,573
7/03/2003;0,564;0,574;0,564;3141706;0,573;0,569
10/03/2003;0,553;0,575;0,553;7031110;0,569;0,577
11/03/2003;0,572;0,583;0,571;5772370;0,577;0,581
12/03/2003;0,567;0,581;0,566;3769361;0,581;0,607
13/03/2003;0,588;0,612;0,588;5326495;0,607;0,612
14/03/2003;0,618;0,621;0,608;4036886;0,612;0,608
